CVE,CVE Details URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-15219,https://www.cvedetails.com/cve/CVE-2019-15219,2019-08-19,2019-08-22,4.9,None,None,Complete,Low,Not required,None,,476,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=9a5729f68d3a82786aea110b1bfe610be318f80a,9a5729f68d3a82786aea110b1bfe610be318f80a,,
CVE-2019-15223,https://www.cvedetails.com/cve/CVE-2019-15223,2019-08-19,2019-09-05,4.9,None,None,Complete,Low,Not required,None,,476,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=0b074ab7fc0d575247b9cc9f93bb7e007ca38840,0b074ab7fc0d575247b9cc9f93bb7e007ca38840,,
CVE-2019-15916,https://www.cvedetails.com/cve/CVE-2019-15916,2019-09-04,2019-10-04,7.8,None,None,Complete,Low,Not required,None,"Denial Of Service,Overflow",119,,,,,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=895a5e96dbd6386c8e78e5b78e067dcc67b7f0ab,895a5e96dbd6386c8e78e5b78e067dcc67b7f0ab,,
CVE-2018-1092,https://www.cvedetails.com/cve/CVE-2018-1092,2018-04-01,2018-10-31,7.1,None,None,Complete,Medium,Not required,None,Denial Of Service,476,"https://bugzilla.kernel.org/show_bug.cgi?id=199179,https://bugzilla.kernel.org/show_bug.cgi?id=199275,https://bugzilla.redhat.com/show_bug.cgi?id=1560777","199179,199275,1560777",,,https://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4.git/commit/?id=8e4b5eae5decd9dfe5a4ee369c22028f90ab4c44,8e4b5eae5decd9dfe5a4ee369c22028f90ab4c44,,
CVE-2018-1095,https://www.cvedetails.com/cve/CVE-2018-1095,2018-04-01,2018-10-31,7.1,None,None,Complete,Medium,Not required,None,Denial Of Service,476,"https://bugzilla.redhat.com/show_bug.cgi?id=1560793,https://bugzilla.kernel.org/show_bug.cgi?id=199185","1560793,199185",,,https://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4.git/commit/?id=ce3fd194fcc6fbdc00ce095a852f22df97baa401,ce3fd194fcc6fbdc00ce095a852f22df97baa401,,
CVE-2018-7191,https://www.cvedetails.com/cve/CVE-2018-7191,2019-05-17,2019-05-31,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,476,,,,,"https://github.com/torvalds/linux/commit/0ad646c81b2182f7fa67ec0c8c825e0ee165696d,https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=5c25f65fd1e42685f7ccd80e0621829c105785d9,https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=0ad646c81b2182f7fa67ec0c8c825e0ee165696d,https://github.com/torvalds/linux/commit/5c25f65fd1e42685f7ccd80e0621829c105785d9","0ad646c81b2182f7fa67ec0c8c825e0ee165696d,5c25f65fd1e42685f7ccd80e0621829c105785d9,0ad646c81b2182f7fa67ec0c8c825e0ee165696d,5c25f65fd1e42685f7ccd80e0621829c105785d9",,
CVE-2017-0631,https://www.cvedetails.com/cve/CVE-2017-0631,2017-05-12,2017-05-19,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
CVE-2017-0633,https://www.cvedetails.com/cve/CVE-2017-0633,2017-05-12,2017-05-19,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
CVE-2017-2634,https://www.cvedetails.com/cve/CVE-2017-2634,2018-07-27,2019-10-09,7.8,None,None,Complete,Low,Not required,None,"Overflow,Memory corruption",119,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-2634,CVE-2017-2634,,,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/?id=f53dc67c5e7babafe239b93a11678b0e05bead51,f53dc67c5e7babafe239b93a11678b0e05bead51,,
CVE-2016-8410,https://www.cvedetails.com/cve/CVE-2016-8410,2017-01-12,2017-01-18,2.6,Partial,None,None,High,Not required,None,Obtain Information,200,,,,,,,,
CVE-2016-8391,https://www.cvedetails.com/cve/CVE-2016-8391,2017-01-12,2017-01-17,7.6,Complete,Complete,Complete,High,Not required,None,Execute Code,284,,,,,,,,
CVE-2016-8428,https://www.cvedetails.com/cve/CVE-2016-8428,2017-01-12,2017-10-18,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,264,,,,,,,,
CVE-2015-3332,https://www.cvedetails.com/cve/CVE-2015-3332,2015-05-27,2016-04-11,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,399,https://bugzilla.redhat.com/show_bug.cgi?id=1213951,1213951,,,,,,
CVE-2015-2150,https://www.cvedetails.com/cve/CVE-2015-2150,2015-03-12,2018-10-30,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,264,https://bugzilla.redhat.com/show_bug.cgi?id=1196266,1196266,,,"https://github.com/torvalds/linux/commit/af6fc858a35b90e89ea7a7ee58e66628c55c776b,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=af6fc858a35b90e89ea7a7ee58e66628c55c776b","af6fc858a35b90e89ea7a7ee58e66628c55c776b,af6fc858a35b90e89ea7a7ee58e66628c55c776b",,
CVE-2015-2672,https://www.cvedetails.com/cve/CVE-2015-2672,2016-05-02,2016-05-06,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,20,https://bugzilla.redhat.com/show_bug.cgi?id=1204729,1204729,,,"https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=06c8173eb92bbfc03a0fe8bb64315857d0badd06,https://github.com/torvalds/linux/commit/06c8173eb92bbfc03a0fe8bb64315857d0badd06","06c8173eb92bbfc03a0fe8bb64315857d0badd06,06c8173eb92bbfc03a0fe8bb64315857d0badd06",,
CVE-2013-3301,https://www.cvedetails.com/cve/CVE-2013-3301,2013-04-29,2019-04-22,7.2,Complete,Complete,Complete,Low,Not required,None,Denial Of Service,,https://bugzilla.redhat.com/show_bug.cgi?id=952197,952197,,,"https://github.com/torvalds/linux/commit/6a76f8c0ab19f215af2a3442870eeb5f0e81998d,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=6a76f8c0ab19f215af2a3442870eeb5f0e81998d","6a76f8c0ab19f215af2a3442870eeb5f0e81998d,6a76f8c0ab19f215af2a3442870eeb5f0e81998d",,
CVE-2013-3231,https://www.cvedetails.com/cve/CVE-2013-3231,2013-04-22,2017-11-28,4.7,Complete,None,None,Medium,Not required,None,Obtain Information,200,,,,,"https://github.com/torvalds/linux/commit/c77a4b9cffb6215a15196ec499490d116dfad181,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=c77a4b9cffb6215a15196ec499490d116dfad181","c77a4b9cffb6215a15196ec499490d116dfad181,c77a4b9cffb6215a15196ec499490d116dfad181",,
CVE-2013-2929,https://www.cvedetails.com/cve/CVE-2013-2929,2013-12-09,2018-04-27,3.3,Partial,Partial,None,Medium,Not required,None,"Bypass a restriction or similar,Obtain Information",264,https://bugzilla.redhat.com/show_bug.cgi?id=1028148,1028148,,,"https://github.com/torvalds/linux/commit/d049f74f2dbe71354d43d393ac3a188947811348,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=d049f74f2dbe71354d43d393ac3a188947811348","d049f74f2dbe71354d43d393ac3a188947811348,d049f74f2dbe71354d43d393ac3a188947811348",,
CVE-2011-1676,https://www.cvedetails.com/cve/CVE-2011-1676,2011-04-09,2017-08-16,3.3,Partial,Partial,None,Medium,Not required,None,,264,https://bugzilla.redhat.com/show_bug.cgi?id=688980,688980,,,,,,
CVE-2011-2211,https://www.cvedetails.com/cve/CVE-2011-2211,2012-06-13,2012-06-13,7.2,Complete,Complete,Complete,Low,Not required,None,Gain privileges,264,,,,,"https://github.com/torvalds/linux/commit/21c5977a836e399fc710ff2c5367845ed5c2527f,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=21c5977a836e399fc710ff2c5367845ed5c2527f","21c5977a836e399fc710ff2c5367845ed5c2527f,21c5977a836e399fc710ff2c5367845ed5c2527f",,
CVE-2011-2022,https://www.cvedetails.com/cve/CVE-2011-2022,2011-05-09,2014-01-13,6.9,Complete,Complete,Complete,Medium,Not required,None,"Denial Of Service,Gain privileges",20,https://bugzilla.redhat.com/show_bug.cgi?id=698996,698996,,,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=194b3da873fd334ef183806db751473512af29ce,194b3da873fd334ef183806db751473512af29ce,,
CVE-2009-2287,https://www.cvedetails.com/cve/CVE-2009-2287,2009-07-01,2012-03-19,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,20,,,,,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commitdiff;h=59839dfff5eabca01cc4e20b45797a60a80af8cb,59839dfff5eabca01cc4e20b45797a60a80af8cb,,
CVE-2009-2849,https://www.cvedetails.com/cve/CVE-2009-2849,2009-08-18,2017-09-18,4.7,None,None,Complete,Medium,Not required,None,Denial Of Service,,,,,,https://git.kernel.org/?p=linux/kernel/git/stable/linux-2.6.30.y.git;a=commit;h=3c92900d9a4afb176d3de335dc0da0198660a244,3c92900d9a4afb176d3de335dc0da0198660a244,,
CVE-2009-2698,https://www.cvedetails.com/cve/CVE-2009-2698,2009-08-27,2019-09-05,7.2,Complete,Complete,Complete,Low,Not required,None,"Denial Of Service,Gain privileges",476,https://bugzilla.redhat.com/show_bug.cgi?id=518034,518034,,,https://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=1e0c14f49d6b393179f423abbac47f85618d3d46,1e0c14f49d6b393179f423abbac47f85618d3d46,,
CVE-2006-4997,https://www.cvedetails.com/cve/CVE-2006-4997,2006-10-10,2018-10-30,7.1,None,None,Complete,Medium,Not required,None,Denial Of Service,,https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=206265,206265,,,https://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=fe26109a9dfd9327fdbe630fc819e1b7450986b2,fe26109a9dfd9327fdbe630fc819e1b7450986b2,,
CVE-2006-2936,https://www.cvedetails.com/cve/CVE-2006-2936,2006-07-10,2018-10-18,7.8,None,None,Complete,Low,Not required,None,Denial Of Service,399,https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=197610,197610,,,,,,
CVE-2006-3635,https://www.cvedetails.com/cve/CVE-2006-3635,2017-08-06,2017-08-14,4.9,None,None,Complete,Low,Not required,None,"Denial Of Service,Overflow",119,,,,,"https://github.com/torvalds/linux/commit/4dcc29e1574d88f4465ba865ed82800032f76418,https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=4dcc29e1574d88f4465ba865ed82800032f76418","4dcc29e1574d88f4465ba865ed82800032f76418,4dcc29e1574d88f4465ba865ed82800032f76418",,
CVE-2002-1571,https://www.cvedetails.com/cve/CVE-2002-1571,2002-12-31,2008-09-05,2.1,Partial,None,None,Low,Not required,None,Obtain Information,,,,,,,,,
CVE-2004-0177,https://www.cvedetails.com/cve/CVE-2004-0177,2004-06-01,2017-10-10,5.0,Partial,None,None,Low,Not required,None,Obtain Information,,,,,,,,,
CVE-2003-0959,https://www.cvedetails.com/cve/CVE-2003-0959,2003-12-31,2017-07-10,10.0,Complete,Complete,Complete,Low,Not required,Admin,"Denial Of Service,Overflow,Gain privileges",,,,,,,,,
