CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-1999-0236,https://www.cvedetails.com/cve/CVE-1999-0236,1997-01-01,2008-09-09,10.0,Complete,Complete,Complete,Low,Not required,None,,,"{""Http Server"": []}",,"""[\""22625\""]""",,,,,,,
CVE-2000-0505,https://www.cvedetails.com/cve/CVE-2000-0505,2000-05-31,2017-10-09,5.0,Partial,None,None,Low,Not required,None,,,"{""Http Server"": [""1.3.6"", ""1.3.9"", ""1.3.11"", ""1.3.12""]}",,,,,,,,,
CVE-1999-0107,https://www.cvedetails.com/cve/CVE-1999-0107,1997-12-30,2008-09-09,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Overflow""]",,"{""Http Server"": [""0.8.11"", ""0.8.14"", ""1.0"", ""1.0.2"", ""1.0.3"", ""1.0.5"", ""1.1"", ""1.1.1"", ""1.2.5""]}",,,,,,,,,
CVE-1999-1199,https://www.cvedetails.com/cve/CVE-1999-1199,1998-08-07,2016-10-17,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""1.3.1""]}",,,,,,,,,
CVE-2006-7196,https://www.cvedetails.com/cve/CVE-2006-7196,2007-05-09,2018-10-16,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2005-2970,https://www.cvedetails.com/cve/CVE-2005-2970,2005-10-25,2018-10-19,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""2.0""]}",,,,,,,,"[""https://svn.apache.org/viewcvs?rev=292949&view=rev""]","[""292949""]"
CVE-2005-3510,https://www.cvedetails.com/cve/CVE-2005-3510,2005-11-06,2018-10-19,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2006-1095,https://www.cvedetails.com/cve/CVE-2006-1095,2006-03-09,2017-07-19,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Execute Code"", ""Directory traversal""]",22,,,,,,,,,"[""https://svn.apache.org/viewcvs.cgi/httpd/mod_python/branches/3.2.x/NEWS?rev=378945""]","[""378945""]"
CVE-2010-1244,https://www.cvedetails.com/cve/CVE-2010-1244,2010-04-05,2017-08-16,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""CSRF""]",352,,,,,,,,,,
CVE-2010-1587,https://www.cvedetails.com/cve/CVE-2010-1587,2010-04-28,2018-10-10,5.0,Partial,None,None,Low,Not required,None,,20,,,,,,,,,,
CVE-2010-2232,https://www.cvedetails.com/cve/CVE-2010-2232,2017-10-23,2017-10-26,5.0,None,Partial,None,Low,Not required,None,,284,,,,,,,,,,
CVE-2010-1452,https://www.cvedetails.com/cve/CVE-2010-1452,2010-07-28,2018-10-30,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,"{""Http Server"": [""2.2"", ""2.2.0"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6"", ""2.2.7"", ""2.2.8"", ""2.2.9"", ""2.2.10"", ""2.2.11"", ""2.2.12"", ""2.2.13"", ""2.2.14"", ""2.2.15""]}","[""https://issues.apache.org/bugzilla/show_bug.cgi?id=49246""]","[""49246""]","[""https://httpd.apache.org/security/vulnerabilities_22.html""]","[""APACHE-2.2""]",,,,,
CVE-2012-5887,https://www.cvedetails.com/cve/CVE-2012-5887,2012-11-17,2017-08-28,5.0,None,Partial,None,Low,Not required,None,"[""Bypass a restriction or similar""]",287,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1377807"", ""https://svn.apache.org/viewvc?view=revision&revision=1380829"", ""https://svn.apache.org/viewvc?view=revision&revision=1392248""]","[""1377807"", ""1380829"", ""1392248""]"
CVE-2013-1909,https://www.cvedetails.com/cve/CVE-2013-1909,2013-08-23,2013-08-26,5.8,Partial,Partial,None,Medium,Not required,None,,20,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1460013""]","[""1460013""]"
CVE-2013-0177,https://www.cvedetails.com/cve/CVE-2013-0177,2014-01-30,2018-05-18,3.5,None,Partial,None,Medium,Single system,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2013-0346,https://www.cvedetails.com/cve/CVE-2013-0346,2014-02-15,2014-02-18,2.1,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",264,,,,,,,,,,
CVE-2014-3628,https://www.cvedetails.com/cve/CVE-2014-3628,2015-01-06,2015-01-06,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2014-0229,https://www.cvedetails.com/cve/CVE-2014-0229,2017-03-23,2017-03-28,4.0,None,None,Partial,Low,Single system,None,"[""Denial Of Service""]",264,,,,,,,,,,
CVE-2014-8110,https://www.cvedetails.com/cve/CVE-2014-8110,2015-02-12,2017-09-07,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2014-3575,https://www.cvedetails.com/cve/CVE-2014-3575,2014-08-26,2017-08-28,4.3,Partial,None,None,Medium,Not required,None,,264,,,,,,,,,,
CVE-2016-2171,https://www.cvedetails.com/cve/CVE-2016-2171,2016-04-11,2016-04-14,6.4,None,Partial,Partial,Low,Not required,None,,264,,,,,,,,,,
CVE-2016-3092,https://www.cvedetails.com/cve/CVE-2016-3092,2016-07-04,2019-04-23,7.8,None,None,Complete,Low,Not required,None,"[""Denial Of Service""]",20,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1743742"", ""https://svn.apache.org/viewvc?view=revision&revision=1743480"", ""https://svn.apache.org/viewvc?view=revision&revision=1743722"", ""https://svn.apache.org/viewvc?view=revision&revision=1743738""]","[""1743742"", ""1743480"", ""1743722"", ""1743738""]"
CVE-2016-2161,https://www.cvedetails.com/cve/CVE-2016-2161,2017-07-27,2018-04-24,5.0,None,None,Partial,Low,Not required,None,,20,"{""Http Server"": [""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.14"", ""2.4.16"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html#CVE-2016-2161""]","[""APACHE-2.4""]",,,,,
CVE-2016-3083,https://www.cvedetails.com/cve/CVE-2016-3083,2017-05-30,2017-05-31,5.0,None,Partial,None,Low,Not required,None,,295,,,,,,,,,,
CVE-2017-7669,https://www.cvedetails.com/cve/CVE-2017-7669,2017-06-04,2017-06-09,8.5,Complete,Complete,Complete,Medium,Single system,None,,20,,,,,,,,,,
CVE-2017-7660,https://www.cvedetails.com/cve/CVE-2017-7660,2017-07-07,2018-11-28,5.0,None,Partial,None,Low,Not required,None,,287,,,,,,,,,,
CVE-2017-5651,https://www.cvedetails.com/cve/CVE-2017-5651,2017-04-17,2019-10-02,7.5,Partial,Partial,Partial,Low,Not required,None,,,,"[""https://bz.apache.org/bugzilla/show_bug.cgi?id=60918""]","[""60918""]",,,,,,,
CVE-2017-5654,https://www.cvedetails.com/cve/CVE-2017-5654,2017-05-12,2017-05-23,5.0,Partial,None,None,Low,Not required,None,,91,,,,,,,,,,
CVE-2018-1318,https://www.cvedetails.com/cve/CVE-2018-1318,2018-08-29,2018-11-07,5.0,None,None,Partial,Low,Not required,None,,20,,,,,,,,,,
CVE-2018-1315,https://www.cvedetails.com/cve/CVE-2018-1315,2018-04-05,2019-10-02,4.3,None,Partial,None,Medium,Not required,None,,732,,,,,,,,,,
CVE-2018-1298,https://www.cvedetails.com/cve/CVE-2018-1298,2018-02-09,2018-03-10,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",20,,,,,,,,,,
CVE-2018-1317,https://www.cvedetails.com/cve/CVE-2018-1317,2019-04-23,2019-04-30,6.5,Partial,Partial,Partial,Low,Single system,None,,287,,,,,,,,,,
CVE-2019-12407,https://www.cvedetails.com/cve/CVE-2019-12407,2019-09-23,2019-09-23,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2019-10094,https://www.cvedetails.com/cve/CVE-2019-10094,2019-08-02,2019-08-12,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Overflow""]",119,,,,,,,,,,
CVE-2019-10087,https://www.cvedetails.com/cve/CVE-2019-10087,2019-09-23,2019-09-23,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2019-0222,https://www.cvedetails.com/cve/CVE-2019-0222,2019-03-28,2019-07-23,5.0,None,None,Partial,Low,Not required,None,,94,,,,,,,,,,
